40k,80k,120k,160k,200k,240k,280k,320k,360k,400k,440k,480k,520k,560k,600k,640k,680k,720k,760k,800k,840k,880k,920k,960k,1000k
210.0,300.0,990.0,500.0,120.0,230.0,310.0,200.0,70.0,290.0,60.0,110.0,270.0,210.0,330.0,310.0,610.0,310.0,120.0,360.0,260.0,670.0,670.0,650.0,120.0
140.0,230.0,300.0,290.0,180.0,270.0,260.0,550.0,60.0,290.0,60.0,70.0,290.0,210.0,930.0,290.0,380.0,340.0,120.0,420.0,130.0,700.0,700.0,560.0,120.0
210.0,230.0,1230.0,330.0,230.0,270.0,310.0,930.0,60.0,290.0,60.0,70.0,280.0,210.0,660.0,110.0,540.0,220.0,390.0,370.0,720.0,1280.0,290.0,320.0,120.0
210.0,300.0,440.0,440.0,180.0,240.0,310.0,470.0,60.0,290.0,60.0,100.0,270.0,210.0,220.0,110.0,200.0,220.0,120.0,410.0,520.0,910.0,650.0,400.0,210.0
790.0,100.0,620.0,720.0,940.0,270.0,310.0,400.0,70.0,290.0,60.0,70.0,320.0,210.0,370.0,180.0,170.0,210.0,390.0,620.0,430.0,1100.0,870.0,330.0,550.0
210.0,390.0,500.0,1270.0,230.0,360.0,310.0,410.0,60.0,290.0,60.0,280.0,240.0,210.0,530.0,150.0,520.0,130.0,120.0,470.0,430.0,800.0,640.0,400.0,160.0
210.0,390.0,510.0,370.0,180.0,270.0,260.0,270.0,60.0,290.0,60.0,70.0,280.0,210.0,720.0,180.0,450.0,1330.0,120.0,390.0,510.0,1160.0,300.0,390.0,120.0
170.0,300.0,630.0,300.0,190.0,270.0,310.0,410.0,60.0,290.0,60.0,100.0,300.0,210.0,490.0,220.0,610.0,930.0,120.0,360.0,130.0,640.0,430.0,340.0,180.0
210.0,230.0,1030.0,270.0,180.0,270.0,310.0,310.0,60.0,290.0,60.0,80.0,280.0,210.0,340.0,180.0,140.0,290.0,120.0,340.0,730.0,710.0,550.0,530.0,150.0
210.0,380.0,310.0,630.0,180.0,270.0,310.0,630.0,60.0,290.0,60.0,70.0,300.0,210.0,310.0,110.0,170.0,730.0,120.0,400.0,380.0,430.0,550.0,370.0,120.0
210.0,510.0,660.0,300.0,180.0,230.0,240.0,520.0,70.0,290.0,60.0,100.0,140.0,210.0,360.0,380.0,330.0,240.0,120.0,300.0,130.0,560.0,540.0,630.0,120.0
810.0,610.0,1020.0,210.0,180.0,270.0,310.0,440.0,60.0,290.0,60.0,70.0,300.0,210.0,230.0,310.0,380.0,220.0,120.0,360.0,210.0,720.0,730.0,410.0,510.0
210.0,390.0,650.0,520.0,180.0,270.0,310.0,370.0,60.0,290.0,60.0,200.0,270.0,210.0,250.0,100.0,370.0,380.0,120.0,420.0,450.0,460.0,650.0,380.0,120.0
140.0,570.0,960.0,440.0,180.0,230.0,310.0,440.0,60.0,290.0,60.0,220.0,270.0,210.0,380.0,160.0,170.0,270.0,120.0,430.0,130.0,2000.0,720.0,170.0,120.0
210.0,300.0,1230.0,340.0,180.0,230.0,260.0,800.0,60.0,290.0,60.0,70.0,540.0,210.0,210.0,260.0,420.0,730.0,390.0,530.0,340.0,1100.0,380.0,270.0,150.0
210.0,500.0,670.0,650.0,180.0,230.0,310.0,620.0,60.0,290.0,60.0,70.0,270.0,210.0,400.0,170.0,330.0,200.0,120.0,690.0,130.0,590.0,550.0,380.0,170.0
210.0,390.0,1080.0,800.0,180.0,230.0,310.0,330.0,60.0,290.0,60.0,70.0,270.0,210.0,420.0,300.0,370.0,930.0,120.0,370.0,340.0,460.0,410.0,370.0,110.0
210.0,290.0,300.0,720.0,280.0,230.0,310.0,450.0,60.0,290.0,60.0,70.0,140.0,210.0,380.0,120.0,320.0,780.0,390.0,380.0,790.0,1080.0,600.0,420.0,510.0
810.0,300.0,1170.0,380.0,280.0,270.0,310.0,470.0,70.0,290.0,60.0,70.0,270.0,210.0,260.0,170.0,350.0,270.0,390.0,370.0,450.0,880.0,540.0,280.0,150.0
210.0,300.0,460.0,330.0,180.0,230.0,310.0,270.0,70.0,290.0,60.0,200.0,310.0,210.0,210.0,240.0,440.0,830.0,390.0,260.0,420.0,630.0,610.0,220.0,120.0
210.0,310.0,960.0,330.0,180.0,270.0,310.0,450.0,60.0,290.0,60.0,120.0,300.0,210.0,370.0,120.0,280.0,350.0,120.0,470.0,340.0,790.0,610.0,840.0,110.0
790.0,500.0,640.0,900.0,950.0,230.0,310.0,690.0,60.0,290.0,60.0,70.0,300.0,210.0,410.0,290.0,170.0,230.0,120.0,750.0,400.0,800.0,720.0,380.0,190.0
140.0,270.0,450.0,370.0,180.0,230.0,310.0,530.0,60.0,290.0,60.0,80.0,270.0,210.0,370.0,120.0,270.0,270.0,120.0,320.0,390.0,910.0,330.0,280.0,120.0
210.0,390.0,1640.0,300.0,180.0,270.0,310.0,200.0,60.0,290.0,60.0,70.0,310.0,210.0,1120.0,150.0,150.0,230.0,120.0,230.0,130.0,710.0,590.0,530.0,160.0
210.0,390.0,700.0,380.0,180.0,230.0,310.0,650.0,60.0,290.0,60.0,70.0,270.0,210.0,780.0,260.0,440.0,970.0,120.0,280.0,830.0,570.0,430.0,250.0,120.0
210.0,230.0,960.0,220.0,180.0,270.0,260.0,1020.0,60.0,290.0,60.0,110.0,270.0,210.0,410.0,150.0,540.0,190.0,120.0,1280.0,470.0,1220.0,620.0,410.0,120.0
210.0,320.0,1090.0,260.0,270.0,270.0,310.0,430.0,70.0,290.0,60.0,70.0,300.0,210.0,420.0,110.0,310.0,200.0,120.0,270.0,340.0,800.0,620.0,360.0,120.0
140.0,300.0,620.0,390.0,270.0,270.0,310.0,840.0,60.0,290.0,60.0,70.0,300.0,210.0,210.0,250.0,380.0,240.0,120.0,1860.0,2130.0,1260.0,320.0,370.0,170.0
210.0,390.0,300.0,420.0,180.0,270.0,310.0,340.0,60.0,290.0,60.0,70.0,300.0,210.0,280.0,110.0,1190.0,490.0,120.0,340.0,370.0,870.0,360.0,370.0,120.0
810.0,500.0,1270.0,300.0,180.0,270.0,260.0,510.0,70.0,290.0,60.0,70.0,310.0,210.0,380.0,110.0,170.0,530.0,120.0,370.0,340.0,710.0,640.0,200.0,160.0
210.0,380.0,620.0,1270.0,180.0,270.0,310.0,570.0,60.0,290.0,60.0,100.0,270.0,210.0,470.0,130.0,170.0,290.0,120.0,310.0,340.0,340.0,600.0,1060.0,120.0
810.0,300.0,1060.0,900.0,960.0,230.0,310.0,530.0,70.0,290.0,60.0,120.0,280.0,210.0,230.0,130.0,830.0,180.0,120.0,430.0,370.0,690.0,600.0,190.0,150.0
140.0,230.0,880.0,340.0,180.0,270.0,310.0,290.0,60.0,290.0,60.0,70.0,280.0,210.0,210.0,270.0,140.0,260.0,120.0,380.0,130.0,780.0,600.0,190.0,120.0
210.0,500.0,960.0,330.0,180.0,230.0,310.0,260.0,70.0,290.0,60.0,200.0,270.0,210.0,290.0,160.0,530.0,470.0,120.0,400.0,210.0,970.0,560.0,560.0,120.0
190.0,230.0,470.0,1010.0,180.0,270.0,310.0,210.0,60.0,290.0,60.0,70.0,280.0,210.0,340.0,110.0,1160.0,260.0,120.0,300.0,660.0,1270.0,550.0,370.0,210.0
140.0,380.0,710.0,290.0,180.0,230.0,310.0,510.0,60.0,290.0,60.0,80.0,320.0,210.0,230.0,220.0,660.0,720.0,120.0,1000.0,730.0,570.0,660.0,440.0,120.0
790.0,270.0,1040.0,610.0,180.0,230.0,310.0,200.0,60.0,290.0,60.0,70.0,280.0,210.0,400.0,390.0,290.0,220.0,390.0,330.0,490.0,880.0,620.0,220.0,150.0
210.0,300.0,580.0,270.0,550.0,270.0,260.0,510.0,60.0,290.0,60.0,70.0,310.0,210.0,450.0,160.0,390.0,270.0,390.0,380.0,130.0,1120.0,560.0,390.0,110.0
140.0,230.0,950.0,400.0,180.0,270.0,260.0,250.0,60.0,290.0,60.0,70.0,280.0,210.0,250.0,170.0,210.0,810.0,120.0,410.0,130.0,710.0,530.0,740.0,190.0
140.0,580.0,510.0,330.0,180.0,230.0,310.0,880.0,60.0,290.0,60.0,70.0,280.0,210.0,220.0,650.0,150.0,280.0,120.0,300.0,130.0,510.0,580.0,230.0,120.0
210.0,300.0,620.0,370.0,260.0,240.0,310.0,710.0,60.0,290.0,60.0,70.0,300.0,210.0,400.0,340.0,310.0,290.0,120.0,580.0,370.0,460.0,460.0,330.0,110.0
230.0,500.0,510.0,400.0,180.0,270.0,260.0,580.0,70.0,290.0,60.0,100.0,310.0,210.0,670.0,180.0,470.0,310.0,120.0,830.0,410.0,1220.0,630.0,460.0,120.0
210.0,230.0,1030.0,170.0,270.0,270.0,260.0,210.0,70.0,290.0,60.0,110.0,310.0,210.0,330.0,90.0,400.0,500.0,70.0,410.0,400.0,790.0,630.0,880.0,130.0
140.0,230.0,1610.0,290.0,180.0,270.0,310.0,250.0,60.0,290.0,60.0,80.0,270.0,210.0,530.0,170.0,410.0,250.0,390.0,790.0,340.0,590.0,570.0,290.0,110.0
210.0,300.0,330.0,720.0,1830.0,270.0,310.0,490.0,60.0,290.0,60.0,220.0,270.0,210.0,610.0,110.0,150.0,450.0,120.0,820.0,200.0,1270.0,700.0,410.0,290.0
210.0,360.0,310.0,320.0,610.0,230.0,310.0,210.0,60.0,290.0,60.0,400.0,270.0,210.0,330.0,160.0,150.0,380.0,120.0,500.0,340.0,640.0,280.0,220.0,130.0
190.0,230.0,990.0,270.0,180.0,230.0,260.0,1160.0,60.0,290.0,60.0,110.0,270.0,210.0,380.0,130.0,700.0,220.0,120.0,410.0,460.0,510.0,760.0,350.0,160.0
810.0,230.0,510.0,350.0,270.0,270.0,310.0,740.0,60.0,290.0,60.0,70.0,300.0,210.0,340.0,260.0,210.0,270.0,120.0,1200.0,340.0,750.0,530.0,1240.0,510.0
790.0,380.0,1020.0,390.0,180.0,230.0,310.0,840.0,60.0,290.0,60.0,70.0,310.0,210.0,320.0,540.0,140.0,270.0,120.0,300.0,130.0,440.0,550.0,730.0,120.0
140.0,390.0,300.0,440.0,180.0,230.0,310.0,550.0,60.0,290.0,60.0,70.0,270.0,210.0,990.0,170.0,380.0,260.0,390.0,360.0,340.0,950.0,380.0,490.0,210.0
140.0,230.0,310.0,420.0,180.0,230.0,260.0,310.0,60.0,290.0,60.0,200.0,270.0,210.0,400.0,120.0,260.0,380.0,390.0,380.0,330.0,930.0,320.0,370.0,110.0
210.0,390.0,500.0,800.0,180.0,230.0,310.0,400.0,60.0,290.0,60.0,70.0,310.0,210.0,230.0,140.0,470.0,180.0,120.0,790.0,340.0,1100.0,280.0,410.0,210.0
190.0,300.0,1350.0,630.0,120.0,270.0,310.0,250.0,70.0,290.0,60.0,70.0,270.0,210.0,460.0,110.0,340.0,240.0,120.0,490.0,340.0,1310.0,550.0,450.0,130.0
140.0,300.0,1730.0,330.0,180.0,230.0,310.0,420.0,60.0,290.0,60.0,70.0,140.0,210.0,240.0,150.0,660.0,260.0,120.0,740.0,130.0,660.0,590.0,430.0,500.0
210.0,310.0,310.0,370.0,180.0,270.0,260.0,540.0,70.0,290.0,60.0,70.0,270.0,210.0,370.0,170.0,220.0,220.0,120.0,300.0,380.0,560.0,560.0,190.0,130.0
210.0,230.0,570.0,310.0,180.0,230.0,310.0,1060.0,60.0,290.0,60.0,70.0,300.0,210.0,270.0,500.0,540.0,200.0,120.0,380.0,550.0,1450.0,320.0,320.0,120.0
210.0,310.0,1020.0,570.0,180.0,270.0,310.0,450.0,60.0,290.0,60.0,70.0,280.0,310.0,370.0,290.0,270.0,550.0,120.0,350.0,150.0,2290.0,590.0,420.0,170.0
210.0,300.0,1100.0,270.0,180.0,270.0,310.0,450.0,60.0,290.0,60.0,70.0,270.0,210.0,780.0,260.0,440.0,290.0,120.0,650.0,340.0,1260.0,810.0,230.0,150.0
210.0,510.0,460.0,220.0,180.0,260.0,260.0,190.0,70.0,290.0,60.0,70.0,270.0,210.0,1130.0,240.0,340.0,270.0,120.0,420.0,920.0,1260.0,300.0,170.0,130.0
210.0,230.0,620.0,330.0,180.0,230.0,260.0,220.0,70.0,290.0,60.0,70.0,300.0,210.0,220.0,120.0,190.0,230.0,120.0,230.0,340.0,1250.0,420.0,630.0,560.0
790.0,390.0,1210.0,790.0,180.0,270.0,310.0,470.0,60.0,290.0,60.0,70.0,310.0,210.0,330.0,110.0,340.0,570.0,120.0,1380.0,400.0,690.0,690.0,380.0,110.0
140.0,230.0,300.0,350.0,180.0,270.0,240.0,1570.0,60.0,290.0,60.0,70.0,270.0,210.0,340.0,250.0,250.0,460.0,120.0,310.0,900.0,720.0,610.0,190.0,120.0
790.0,360.0,350.0,270.0,180.0,270.0,230.0,200.0,60.0,290.0,60.0,70.0,280.0,210.0,210.0,110.0,630.0,440.0,390.0,430.0,470.0,1250.0,540.0,380.0,160.0
210.0,230.0,660.0,300.0,340.0,230.0,310.0,660.0,70.0,290.0,60.0,100.0,300.0,210.0,250.0,110.0,150.0,400.0,120.0,210.0,130.0,330.0,550.0,280.0,120.0
190.0,230.0,940.0,460.0,1860.0,230.0,310.0,440.0,60.0,290.0,60.0,80.0,270.0,210.0,410.0,180.0,350.0,250.0,120.0,970.0,330.0,820.0,520.0,390.0,130.0
210.0,500.0,1090.0,270.0,180.0,270.0,260.0,1070.0,70.0,290.0,60.0,70.0,270.0,210.0,380.0,120.0,350.0,490.0,120.0,680.0,400.0,770.0,610.0,480.0,120.0
790.0,310.0,300.0,280.0,1800.0,230.0,310.0,670.0,60.0,290.0,60.0,110.0,300.0,210.0,220.0,670.0,310.0,500.0,390.0,270.0,320.0,710.0,530.0,230.0,210.0
210.0,290.0,1240.0,330.0,1770.0,230.0,310.0,650.0,70.0,400.0,60.0,70.0,270.0,210.0,470.0,110.0,240.0,300.0,390.0,1560.0,420.0,590.0,580.0,300.0,110.0
210.0,380.0,620.0,330.0,180.0,230.0,260.0,470.0,70.0,400.0,60.0,70.0,310.0,210.0,220.0,310.0,590.0,440.0,120.0,770.0,340.0,1810.0,570.0,820.0,110.0
140.0,300.0,1340.0,370.0,180.0,230.0,310.0,470.0,60.0,290.0,60.0,70.0,280.0,210.0,420.0,290.0,150.0,140.0,120.0,690.0,130.0,790.0,420.0,480.0,190.0
210.0,380.0,390.0,370.0,120.0,230.0,230.0,620.0,60.0,290.0,60.0,70.0,300.0,210.0,370.0,140.0,440.0,250.0,120.0,370.0,130.0,580.0,420.0,620.0,510.0
210.0,500.0,1230.0,520.0,180.0,230.0,310.0,360.0,60.0,290.0,60.0,70.0,300.0,210.0,500.0,100.0,380.0,450.0,120.0,300.0,130.0,2090.0,330.0,360.0,130.0
210.0,610.0,1240.0,390.0,180.0,270.0,260.0,550.0,60.0,290.0,60.0,70.0,270.0,210.0,430.0,260.0,310.0,490.0,120.0,550.0,310.0,930.0,3640.0,340.0,160.0
140.0,300.0,500.0,730.0,180.0,270.0,310.0,300.0,70.0,290.0,60.0,80.0,280.0,210.0,250.0,80.0,510.0,570.0,120.0,780.0,130.0,1050.0,890.0,840.0,120.0
210.0,230.0,380.0,470.0,180.0,230.0,310.0,830.0,60.0,290.0,60.0,70.0,310.0,210.0,220.0,260.0,490.0,220.0,380.0,390.0,130.0,2140.0,560.0,400.0,120.0
210.0,390.0,510.0,330.0,180.0,230.0,310.0,590.0,70.0,290.0,60.0,70.0,280.0,210.0,320.0,190.0,510.0,180.0,120.0,430.0,260.0,710.0,380.0,390.0,120.0
210.0,570.0,1290.0,290.0,180.0,270.0,310.0,250.0,60.0,290.0,60.0,70.0,300.0,210.0,230.0,260.0,310.0,270.0,120.0,830.0,430.0,980.0,460.0,330.0,110.0
790.0,230.0,280.0,270.0,180.0,230.0,260.0,190.0,60.0,290.0,60.0,70.0,300.0,210.0,190.0,300.0,320.0,280.0,120.0,690.0,2850.0,770.0,650.0,350.0,120.0
210.0,500.0,300.0,330.0,180.0,270.0,310.0,410.0,60.0,290.0,60.0,200.0,240.0,210.0,250.0,250.0,170.0,260.0,120.0,430.0,130.0,810.0,550.0,250.0,120.0
140.0,300.0,510.0,860.0,180.0,230.0,260.0,750.0,70.0,290.0,60.0,100.0,310.0,310.0,280.0,110.0,170.0,290.0,120.0,340.0,850.0,1130.0,590.0,390.0,120.0
210.0,300.0,1890.0,270.0,1800.0,230.0,260.0,200.0,60.0,290.0,60.0,100.0,270.0,210.0,290.0,350.0,430.0,230.0,120.0,390.0,380.0,750.0,540.0,300.0,120.0
210.0,300.0,1070.0,650.0,260.0,230.0,310.0,850.0,60.0,290.0,60.0,70.0,300.0,210.0,380.0,180.0,240.0,180.0,120.0,360.0,390.0,870.0,710.0,410.0,130.0
790.0,300.0,990.0,650.0,180.0,230.0,310.0,180.0,60.0,290.0,60.0,120.0,300.0,210.0,430.0,310.0,400.0,270.0,120.0,810.0,550.0,2110.0,540.0,290.0,210.0
210.0,390.0,360.0,170.0,180.0,230.0,310.0,470.0,60.0,250.0,60.0,70.0,300.0,210.0,300.0,140.0,310.0,710.0,120.0,740.0,300.0,610.0,640.0,830.0,120.0
210.0,300.0,1130.0,370.0,180.0,230.0,310.0,520.0,60.0,290.0,60.0,70.0,310.0,210.0,500.0,110.0,1170.0,230.0,120.0,1560.0,340.0,800.0,360.0,640.0,530.0
170.0,230.0,300.0,410.0,180.0,230.0,310.0,440.0,70.0,290.0,60.0,70.0,270.0,210.0,1110.0,170.0,280.0,160.0,790.0,330.0,130.0,1630.0,670.0,680.0,120.0
210.0,390.0,1140.0,440.0,180.0,270.0,310.0,270.0,60.0,290.0,60.0,70.0,310.0,210.0,490.0,120.0,590.0,340.0,120.0,290.0,370.0,800.0,410.0,1920.0,150.0
210.0,380.0,400.0,930.0,180.0,230.0,310.0,440.0,60.0,290.0,60.0,70.0,270.0,210.0,250.0,230.0,210.0,200.0,390.0,440.0,550.0,1310.0,640.0,190.0,150.0
210.0,300.0,960.0,1270.0,180.0,230.0,310.0,190.0,70.0,290.0,60.0,70.0,270.0,310.0,420.0,110.0,310.0,220.0,120.0,360.0,1290.0,680.0,380.0,320.0,170.0
210.0,230.0,1830.0,430.0,180.0,230.0,310.0,370.0,60.0,3350.0,60.0,70.0,270.0,210.0,360.0,700.0,560.0,260.0,120.0,520.0,440.0,790.0,750.0,640.0,180.0
210.0,380.0,500.0,770.0,180.0,230.0,310.0,220.0,70.0,290.0,60.0,70.0,140.0,210.0,290.0,150.0,300.0,280.0,120.0,740.0,510.0,610.0,610.0,440.0,140.0
210.0,310.0,560.0,1270.0,570.0,230.0,310.0,260.0,70.0,290.0,60.0,70.0,310.0,210.0,210.0,120.0,380.0,300.0,120.0,530.0,130.0,1590.0,1150.0,310.0,120.0
190.0,300.0,1100.0,320.0,200.0,270.0,310.0,490.0,60.0,290.0,60.0,120.0,270.0,210.0,360.0,210.0,150.0,290.0,390.0,260.0,130.0,700.0,580.0,670.0,210.0
140.0,300.0,980.0,280.0,180.0,270.0,240.0,270.0,60.0,290.0,60.0,70.0,300.0,210.0,310.0,220.0,260.0,380.0,120.0,330.0,700.0,640.0,650.0,770.0,870.0
140.0,300.0,620.0,330.0,180.0,270.0,310.0,480.0,60.0,290.0,60.0,110.0,270.0,210.0,220.0,110.0,170.0,380.0,120.0,370.0,540.0,430.0,240.0,280.0,120.0
210.0,230.0,280.0,610.0,180.0,230.0,310.0,250.0,60.0,290.0,60.0,190.0,310.0,210.0,370.0,220.0,660.0,220.0,120.0,510.0,520.0,430.0,560.0,300.0,160.0
210.0,230.0,1090.0,280.0,180.0,270.0,310.0,990.0,60.0,290.0,60.0,200.0,300.0,210.0,600.0,240.0,310.0,150.0,120.0,1340.0,310.0,870.0,600.0,670.0,510.0
210.0,300.0,430.0,270.0,180.0,230.0,310.0,610.0,60.0,290.0,60.0,70.0,280.0,210.0,680.0,110.0,320.0,580.0,120.0,680.0,320.0,2290.0,580.0,290.0,510.0
140.0,380.0,310.0,330.0,180.0,270.0,310.0,520.0,60.0,290.0,60.0,110.0,270.0,210.0,230.0,330.0,270.0,470.0,120.0,460.0,310.0,770.0,560.0,370.0,150.0
190.0,100.0,1480.0,330.0,270.0,230.0,310.0,2360.0,60.0,290.0,60.0,70.0,310.0,210.0,90.0,110.0,430.0,230.0,390.0,1360.0,130.0,590.0,560.0,600.0,160.0
